0.000000000000000000e+00,0.000000000000000000e+00.1,1.800000000000000000e+01,6.900000000000000000e+01,9.200000000000000000e+01,1.800000000000000000e+01.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3
0.0,0.0,136.0,206.0,231.0,123.0,0.0,0.0
0.0,0.0,137.0,172.0,112.0,25.0,0.0,0.0
0.0,0.0,163.0,228.0,223.0,99.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,46.0,22.0,3.0,0.0,0.0,0.0,0.0
0.0,31.0,78.0,42.0,0.0,0.0,0.0,0.0
0.0,31.0,20.0,1.0,0.0,0.0,0.0,0.0
8.0,57.0,38.0,33.0,14.0,25.0,4.0,0.0
10.0,54.0,59.0,75.0,78.0,118.0,35.0,0.0
17.0,49.0,54.0,72.0,32.0,41.0,4.0,0.0
0.0,20.0,74.0,79.0,74.0,80.0,20.0,0.0
0.0,1.0,6.0,22.0,13.0,25.0,4.0,0.0
0.0,1.0,5.0,23.0,13.0,25.0,4.0,0.0
0.0,1.0,9.0,35.0,15.0,35.0,7.0,0.0
0.0,1.0,5.0,23.0,13.0,25.0,4.0,0.0
